x,y
-169.382,-0.0
-161.975,0.461
-159.506,0.576
-158.641,0.692
-155.679,0.23
-151.728,0.23
-150.123,0.115
-147.777,0.576
-146.79,0.576
-145.185,0.692
-143.95,1.153
-142.222,1.153
-140.864,0.576
-138.395,0.923
-136.913,1.384
-134.938,1.846
-133.95,1.961
-129.506,1.846
-128.518,2.076
-124.938,0.923
-123.95,1.038
-123.086,1.153
-121.604,0.923
-120.0,0.576
-118.518,1.038
-116.79,0.923
-115.308,0.923
-113.58,1.5
-112.098,1.5
-110.617,1.038
-108.148,0.576
-105.925,0.461
-102.962,0.692
-100.864,0.692
-98.888,0.923
-98.024,1.038
-95.802,0.692
-91.975,1.961
-90.37,1.615
-88.888,2.307
-86.543,2.307
-83.209,1.038
-80.987,1.615
-78.765,1.961
-77.16,2.307
-74.691,1.615
-71.851,2.769
-68.765,3.23
-66.913,2.423
-65.185,2.423
-63.456,1.615
-62.716,2.538
-61.481,2.538
-59.012,3.807
-57.283,3.346
-53.95,3.346
-49.012,4.153
-46.666,3.23
-45.185,3.923
-42.592,4.153
-40.617,3.692
-39.753,3.807
-38.024,3.692
-35.802,4.153
-34.074,3.923
-32.592,5.192
-29.876,4.73
-25.185,4.384
-20.493,4.269
-12.839,3.923
-6.913,3.807
0.0,3.923
0.0,3.923
0.0,-32.805
0.0,-32.805
-12.469,-31.42
-45.185,-27.728
-73.333,-14.343
-108.148,-10.536
-115.185,-7.42
-134.444,-5.689
-140.0,-5.574
-154.691,-4.997
-169.382,-0.0
